timestamp,message
2026-06-23T06:00:00+06:00,1

2026-06-23T06:35:46+00:00,/start
2026-06-23T06:35:49+00:00,Hi
2026-06-23T06:37:29+00:00,Hi
2026-06-23T14:45:46+00:00,2
2026-06-23T14:45:55+00:00,2
2026-06-23T16:02:02+00:00,3
2026-06-24T04:46:13+00:00,3
2026-06-24T06:17:46+00:00,3.4
2026-06-24T10:34:55+00:00,2.4
2026-06-24T12:31:09+00:00,2.6
2026-06-24T14:00:03+00:00,1.7
2026-06-25T03:39:07+00:00,2
2026-06-25T10:30:47+00:00,3
2026-06-25T12:31:13+00:00,2.5
2026-06-25T14:10:34+00:00,2.5
2026-06-25T17:44:38+00:00,3
